created_at entry_id	field3	latitude	longitude
2021-09-16 15:06:05	24.1	63.1	68
2021-09-16 15:07:26	24.1	63.1	68
2021-09-16 15:07:45	24.2	62.4	68
2021-09-16 15:09:19	24.2	63.3	68
2021-09-16 15:10:40	24.2	64.0	68
2021-09-16 15:12:12	24.3	64.4	68
2021-09-16 15:12:32	24.3	64.4	68
2021-09-16 15:13:55	24.4	64.6	68
2021-09-16 15:15:27	24.3	65.0	68
2021-09-16 15:16:59	24.3	65.1	68
2021-09-16 15:17:19	24.1	65.1	68
2021-09-16 15:18:42	24.2	65.6	68
2021-09-16 15:20:14	24.2	65.1	68
2021-09-16 15:21:46	24.0	64.9	68
2021-09-16 15:22:35	24.0	64.9	68
2021-09-16 15:22:55	23.9	65.0	68
2021-09-16 15:24:18	23.8	65.8	68
2021-09-16 15:25:51	23.7	65.9	68
2021-09-16 15:27:23	23.7	66.9	68
2021-09-16 15:27:42	23.7	66.8	68
2021-09-16 15:28:55	23.8	66.5	68
2021-09-16 15:30:37	23.8	67.0	68
2021-09-16 15:32:09	23.4	66.3	68
2021-09-16 15:32:45	23.5	66.6	68
2021-09-16 15:33:11	23.5	66.5	68
2021-09-16 15:33:31	23.4	66.7	68
2021-09-16 15:35:04	23.5	67.3	68
2021-09-16 15:36:26	23.5	67.4	68
2021-09-16 15:37:46	23.2	67.7	68
2021-09-16 15:39:29	23.2	68.2	68
2021-09-16 15:41:01	23.1	68.7	68
2021-09-16 15:42:34	23.2	69.1	68
2021-09-16 15:42:52	23.3	69.3	68
2021-09-16 15:44:05	23.2	69.7	68
2021-09-16 15:44:25	23.3	69.7	68
2021-09-16 15:45:57	23.3	69.5	68
2021-09-16 15:47:30	23.2	69.7	68
2021-09-16 15:49:02	23.4	69.7	68
2021-09-16 15:50:34	23.3	69.5	68
2021-09-16 15:52:56	23.5	69.3	68
2021-09-16 15:54:29	23.6	68.8	68
2021-09-16 15:56:01	23.6	69.0	68
2021-09-16 15:56:20	23.7	69.3	68
2021-09-16 15:57:44	23.8	69.0	68
2021-09-16 15:59:15	23.8	68.4	68
2021-09-16 15:59:35	23.8	68.6	68
2021-09-16 16:00:58	23.5	68.5	68
2021-09-16 16:02:30	23.6	68.0	68
2021-09-16 16:04:02	23.5	68.0	68
2021-09-16 16:05:51	23.4	67.5	68
2021-09-16 16:08:07	23.4	67.5	68
2021-09-16 16:08:26	23.4	67.5	68
2021-09-16 16:09:49	23.2	67.0	68
2021-09-16 16:11:21	23.1	67.1	68
2021-09-16 16:12:54	22.9	67.6	68
2021-09-16 16:13:13	23.0	67.2	68
2021-09-16 16:14:26	23.0	67.2	68
2021-09-16 16:14:45	23.2	67.2	68
2021-09-16 16:16:08	22.9	67.8	68
2021-09-16 16:17:40	22.6	68.6	68
2021-09-16 16:18:00	22.7	69.1	68
2021-09-16 16:19:13	22.4	69.9	68
2021-09-16 16:19:32	22.4	70.1	68
2021-09-16 16:20:55	22.2	70.9	68
2021-09-16 16:21:54	22.2	70.8	68
2021-09-16 16:23:17	22.1	71.0	68
2021-09-16 16:23:36	22.2	70.9	68
2021-09-16 16:24:59	22.2	71.0	68
