created_at entry_id	field3	latitude	longitude
2021-09-16 11:30:44	22.3	66.2	
2021-09-16 11:32:16	22.4	65.9	
2021-09-16 11:35:21	22.3	66.4	
2021-09-16 11:35:41	22.3	66.7	
2021-09-16 11:37:51	22.3	65.8	
2021-09-16 11:38:23	22.3	65.8	
2021-09-16 11:39:41	22.3	64.9	
2021-09-16 11:41:02	22.4	64.5	
2021-09-16 11:42:24	22.4	64.9	
2021-09-16 11:42:40	22.3	64.8	
2021-09-16 11:43:20	22.4	65.5	
2021-09-16 11:45:12	22.5	66.3	
2021-09-16 11:47:05	22.4	65.9	
2021-09-16 11:52:51	22.4	66.5	
2021-09-16 11:54:24	22.5	66.2	
2021-09-16 11:54:44	22.4	66.1	
2021-09-16 11:57:38	22.5	64.5	
2021-09-16 11:59:20	22.4	64.8	
2021-09-16 11:59:42	22.4	64.4	
2021-09-16 12:00:04	22.4	64.4	
2021-09-16 12:01:05	22.4	65.4	
2021-09-16 12:04:29	22.4	65.7	
2021-09-16 12:07:52	22.4	65.2	
2021-09-16 12:09:24	22.5	65.8	
2021-09-16 12:10:46	22.6	65.7	
2021-09-16 12:14:11	22.6	66.1	
2021-09-16 12:15:33	22.6	67.0	
2021-09-16 12:17:05	22.7	66.5	
2021-09-16 12:17:25	22.7	66.5	
2021-09-16 12:18:57	22.6	66.5	
2021-09-16 12:20:20	22.6	67.3	
2021-09-16 12:24:14	22.6	66.8	
2021-09-16 12:24:34	22.6	67.3	
2021-09-16 12:25:56	22.7	68.0	
2021-09-16 12:29:01	22.8	67.1	
2021-09-16 12:33:58	22.8	68.1	
2021-09-16 12:35:30	22.7	68.2	
2021-09-16 12:37:02	22.7	68.9	
2021-09-16 12:37:22	22.6	68.7	
2021-09-16 12:41:59	22.8	68.7	
2021-09-16 12:43:21	22.8	69.0	
2021-09-16 12:46:35	22.7	69.0	
2021-09-16 12:48:27	22.6	72.2	
2021-09-16 12:49:40	22.8	70.2	
2021-09-16 12:51:32	22.7	70.0	
2021-09-16 12:53:04	22.6	69.8	
2021-09-16 12:56:19	22.6	69.8	
2021-09-16 12:59:23	22.4	70.4	
2021-09-16 13:01:05	22.4	70.9	
2021-09-16 13:02:48	22.4	70.9	
2021-09-16 13:04:10	22.4	70.9	
2021-09-16 13:05:42	22.4	70.8	
2021-09-16 13:09:46	22.4	71.6	
2021-09-16 13:12:51	22.4	72.2	
2021-09-16 13:13:11	22.4	72.5	
2021-09-16 13:14:33	22.4	73.1	
2021-09-16 13:16:05	22.4	73.0	
2021-09-16 13:17:38	22.5	73.4	
2021-09-16 13:19:10	22.6	72.7	
2021-09-16 13:22:34	22.6	70.9	
2021-09-16 13:23:30	22.5	69.8	
2021-09-16 13:28:35	22.7	69.8	72
2021-09-16 13:31:40	22.7	69.7	72
2021-09-16 13:33:12	22.7	69.6	72
2021-09-16 13:36:26	22.7	69.0	72
2021-09-16 13:44:03	23.0	67.5	72
2021-09-16 13:47:09	23.0	64.6	72
2021-09-16 13:47:28	23.0	65.1	72
2021-09-16 13:50:22	23.0	65.4	72
2021-09-16 13:51:05	23.0	66.6	72
2021-09-16 14:30:04	24.3	62.5	72
2021-09-16 14:30:32	24.3	62.4	72
2021-09-16 14:34:23	24.2	62.9	72
2021-09-16 14:38:25	23.8	64.2	72
2021-09-16 14:39:58	23.6	65.5	72
2021-09-16 14:42:53	23.6	65.0	72
2021-09-16 14:46:16	23.3	64.5	72
2021-09-16 14:47:49	23.3	65.5	72
2021-09-16 14:53:05	23.1	66.5	72
2021-09-16 14:54:49	23.1	66.5	72
2021-09-16 15:00:52	22.8	68.1	72
2021-09-16 15:33:51	22.2	71.3	72
2021-09-16 15:36:46	22.2	71.8	72
2021-09-16 15:39:58	22.0	72.3	72
2021-09-16 15:44:25	22.0	73.9	72
2021-09-16 15:46:07	22.0	74.1	72
2021-09-16 15:49:32	22.0	73.8	72
2021-09-16 15:53:16	22.2	73.9	72
2021-09-16 15:54:48	22.2	73.9	72
2021-09-16 16:01:17	22.2	73.9	72
2021-09-16 16:04:22	22.1	72.3	72
2021-09-16 16:10:09	22.0	72.3	72
2021-09-16 16:14:55	21.8	71.4	72
2021-09-16 16:26:13	21.3	71.4	72
2021-09-16 16:28:39	21.3	74.0	72
2021-09-16 16:29:47	21.3	74.0	72
2021-09-16 16:33:54	21.3	73.8	72
2021-09-16 16:36:49	21.3	73.8	72
2021-09-16 16:37:25	21.2	73.9	72
2021-09-16 16:42:02	21.1	74.3	72
2021-09-16 16:52:15	21.1	74.6	72
2021-09-16 16:54:08	21.1	74.6	72
2021-09-16 16:55:42	21.1	74.9	72
2021-09-16 17:00:16	21.0	75.0	72
2021-09-16 17:01:58	21.0	75.0	72
2021-09-16 17:12:32	20.7	76.5	72
2021-09-16 17:14:04	20.8	76.5	72
2021-09-16 17:15:27	20.7	76.3	72
2021-09-16 17:16:59	20.7	76.3	72
2021-09-16 17:17:19	20.7	76.5	72
2021-09-16 17:22:05	20.6	76.9	72
2021-09-16 17:23:28	20.5	76.7	72
2021-09-16 17:33:02	20.4	76.7	72
2021-09-16 17:38:58	20.3	77.1	72
